invoice_id,seller_id,period_start,period_end,sales_amount,fees,credits_due,from_balance,total
1_20250120,1,2025-01-20,2025-01-26,0.0,0.0,0.0,811.18998,0.0
1_20250127,1,2025-01-27,2025-02-02,0.0,0.0,0.0,811.18998,0.0
1_20250203,1,2025-02-03,2025-02-09,0.0,0.0,0.0,811.18998,0.0
1_20250210,1,2025-02-10,2025-02-16,0.0,0.0,0.0,811.18998,0.0
1_20250217,1,2025-02-17,2025-02-23,0.0,0.0,0.0,811.18998,0.0
1_20250224,1,2025-02-24,2025-03-02,0.0,0.0,0.0,811.18998,0.0
1_20250303,1,2025-03-03,2025-03-09,0.0,0.0,0.0,811.18998,0.0
1_20250310,1,2025-03-10,2025-03-16,0.0,0.0,0.0,811.18998,0.0
1_20250317,1,2025-03-17,2025-03-23,0.0,0.0,0.0,811.18998,0.0
1_20250324,1,2025-03-24,2025-03-30,0.0,0.0,0.0,811.18998,0.0
1_20250331,1,2025-03-31,2025-04-06,0.0,0.0,0.0,811.18998,0.0
1_20250407,1,2025-04-07,2025-04-13,0.0,0.0,0.0,811.18998,0.0
1_20250414,1,2025-04-14,2025-04-20,0.0,0.0,0.0,811.18998,0.0
1_20250421,1,2025-04-21,2025-04-27,33.58,9.71,0.0,811.18998,23.86997
1_20250428,1,2025-04-28,2025-05-04,0.0,0.0,0.0,835.05998,0.0
1_20250505,1,2025-05-05,2025-05-11,0.0,0.0,0.0,835.05998,0.0
1_20250512,1,2025-05-12,2025-05-18,0.0,0.0,0.0,835.05998,0.0
1_20250519,1,2025-05-19,2025-05-25,0.0,0.0,0.0,835.05998,0.0
1_20250526,1,2025-05-26,2025-06-01,0.0,0.0,0.0,835.05998,0.0
1_20250602,1,2025-06-02,2025-06-08,0.0,0.0,0.0,835.05998,0.0
1_20250609,1,2025-06-09,2025-06-15,0.0,0.0,0.0,835.05998,0.0
1_20250616,1,2025-06-16,2025-06-22,0.0,0.0,0.0,835.05998,0.0
1_20250623,1,2025-06-23,2025-06-29,0.0,0.0,0.0,835.05998,0.0
1_20250630,1,2025-06-30,2025-07-06,0.0,0.0,0.0,835.05998,0.0
1_20250707,1,2025-07-07,2025-07-13,0.0,0.0,0.0,835.05998,0.0
1_20250714,1,2025-07-14,2025-07-20,0.0,0.0,0.0,835.05998,0.0
1_20250721,1,2025-07-21,2025-07-27,0.0,0.0,0.0,835.05998,0.0
1_20250728,1,2025-07-28,2025-08-03,0.0,0.0,0.0,835.05998,0.0
1_20250804,1,2025-08-04,2025-08-10,0.0,0.0,0.0,835.05998,0.0
1_20250811,1,2025-08-11,2025-08-17,0.0,0.0,0.0,835.05998,0.0
1_20250818,1,2025-08-18,2025-08-24,0.0,0.0,0.0,835.05998,0.0
1_20250825,1,2025-08-25,2025-08-31,0.0,0.0,0.0,835.05998,0.0
1_20250901,1,2025-09-01,2025-09-07,0.0,0.0,0.0,835.05998,0.0
1_20250908,1,2025-09-08,2025-09-14,0.0,0.0,0.0,835.05998,0.0
1_20250915,1,2025-09-15,2025-09-21,0.0,0.0,0.0,835.05998,0.0
1_20250922,1,2025-09-22,2025-09-28,0.0,0.0,0.0,835.05998,0.0
1_20250929,1,2025-09-29,2025-10-05,0.0,0.0,0.0,835.05998,0.0
2_20240101,2,2024-01-01,2024-01-07,0.0,0.0,0.0,352.3,0.0
2_20240108,2,2024-01-08,2024-01-14,0.0,0.0,0.0,352.3,0.0
2_20240115,2,2024-01-15,2024-01-21,0.0,0.0,0.0,352.3,0.0
2_20240122,2,2024-01-22,2024-01-28,0.0,0.0,0.0,352.3,0.0
2_20240129,2,2024-01-29,2024-02-04,0.0,0.0,0.0,352.3,0.0
2_20240205,2,2024-02-05,2024-02-11,99.7,26.42,0.0,352.3,73.28
2_20240212,2,2024-02-12,2024-02-18,0.0,0.0,0.0,425.5804,0.0
2_20240219,2,2024-02-19,2024-02-25,0.0,0.0,0.0,425.5804,0.0
2_20240226,2,2024-02-26,2024-03-03,0.0,0.0,0.0,425.5804,0.0
2_20240304,2,2024-03-04,2024-03-10,0.0,0.0,0.0,425.5804,0.0
2_20240311,2,2024-03-11,2024-03-17,0.0,0.0,0.0,425.5804,0.0
2_20240318,2,2024-03-18,2024-03-24,10.6,2.86,0.0,425.5804,7.74
2_20240325,2,2024-03-25,2024-03-31,0.0,0.0,0.0,433.3205,0.0
2_20240401,2,2024-04-01,2024-04-07,0.0,0.0,0.0,433.3205,0.0
2_20240408,2,2024-04-08,2024-04-14,36.63,5.54,0.0,433.3205,31.09003
2_20240415,2,2024-04-15,2024-04-21,0.0,0.0,0.0,464.4101,0.0
2_20240422,2,2024-04-22,2024-04-28,0.0,0.0,0.0,464.4101,0.0
2_20240429,2,2024-04-29,2024-05-05,0.0,0.0,0.0,464.4101,0.0
2_20240506,2,2024-05-06,2024-05-12,0.0,0.0,0.0,464.4101,0.0
2_20240513,2,2024-05-13,2024-05-19,0.0,0.0,0.0,464.4101,0.0
2_20240520,2,2024-05-20,2024-05-26,0.0,0.0,0.0,464.4101,0.0
2_20240527,2,2024-05-27,2024-06-02,0.0,0.0,0.0,464.4101,0.0
2_20240603,2,2024-06-03,2024-06-09,0.0,0.0,0.0,464.4101,0.0
2_20240610,2,2024-06-10,2024-06-16,0.0,0.0,0.0,464.4101,0.0
2_20240617,2,2024-06-17,2024-06-23,0.0,0.0,0.0,464.4101,0.0
2_20240624,2,2024-06-24,2024-06-30,0.0,0.0,0.0,464.4101,0.0
2_20240701,2,2024-07-01,2024-07-07,0.0,0.0,0.0,464.4101,0.0
2_20240708,2,2024-07-08,2024-07-14,0.0,0.0,0.0,464.4101,0.0
2_20240715,2,2024-07-15,2024-07-21,0.0,0.0,0.0,464.4101,0.0
2_20240722,2,2024-07-22,2024-07-28,0.0,0.0,0.0,464.4101,0.0
2_20240729,2,2024-07-29,2024-08-04,0.0,0.0,0.0,464.4101,0.0
2_20240805,2,2024-08-05,2024-08-11,0.0,0.0,0.0,464.4101,0.0
2_20240812,2,2024-08-12,2024-08-18,56.42,9.39,0.0,464.4101,47.03
2_20240819,2,2024-08-19,2024-08-25,0.0,0.0,0.0,511.4405,0.0
2_20240826,2,2024-08-26,2024-09-01,0.0,0.0,0.0,511.4405,0.0
2_20240902,2,2024-09-02,2024-09-08,107.32,19.61,0.0,511.4405,87.71
2_20240909,2,2024-09-09,2024-09-15,0.0,0.0,0.0,599.1501,0.0
2_20240916,2,2024-09-16,2024-09-22,0.0,0.0,0.0,599.1501,0.0
2_20240923,2,2024-09-23,2024-09-29,0.0,0.0,0.0,599.1501,0.0
2_20240930,2,2024-09-30,2024-10-06,342.78,108.41,0.0,599.1501,234.3698
2_20241007,2,2024-10-07,2024-10-13,182.2002,21.49,0.0,833.5201,160.71
2_20241014,2,2024-10-14,2024-10-20,110.92,28.09,0.0,994.2301,82.83
2_20241021,2,2024-10-21,2024-10-27,0.0,0.0,0.0,1077.0602,0.0
2_20241028,2,2024-10-28,2024-11-03,0.0,0.0,0.0,1077.0602,0.0
2_20241104,2,2024-11-04,2024-11-10,0.0,0.0,0.0,1077.0602,0.0
2_20241111,2,2024-11-11,2024-11-17,0.0,0.0,0.0,1077.0602,0.0
2_20241118,2,2024-11-18,2024-11-24,0.0,0.0,614.49,1077.0602,-614.49
2_20241125,2,2024-11-25,2024-12-01,0.0,0.0,0.0,462.57016,0.0
2_20241202,2,2024-12-02,2024-12-08,13.05,1.32,0.0,462.57016,11.73
2_20241209,2,2024-12-09,2024-12-15,0.0,0.0,0.0,474.302,0.0
2_20241216,2,2024-12-16,2024-12-22,84.86,19.81,0.0,474.302,65.05
2_20241223,2,2024-12-23,2024-12-29,0.0,0.0,0.0,539.3501,0.0
2_20241230,2,2024-12-30,2025-01-05,0.0,0.0,0.0,539.3501,0.0
2_20250106,2,2025-01-06,2025-01-12,0.0,0.0,0.0,539.3501,0.0
2_20250113,2,2025-01-13,2025-01-19,0.0,0.0,0.0,539.3501,0.0
2_20250120,2,2025-01-20,2025-01-26,0.0,0.0,0.0,539.3501,0.0
2_20250127,2,2025-01-27,2025-02-02,0.0,0.0,0.0,539.3501,0.0
2_20250203,2,2025-02-03,2025-02-09,92.87,9.32,0.0,539.3501,83.5501
2_20250210,2,2025-02-10,2025-02-16,94.03,30.02,0.0,622.901,64.01
2_20250217,2,2025-02-17,2025-02-23,59.57,11.64,0.0,686.9101,47.93
2_20250224,2,2025-02-24,2025-03-02,0.0,0.0,0.0,734.84,0.0
2_20250303,2,2025-03-03,2025-03-09,0.0,0.0,0.0,734.84,0.0
2_20250310,2,2025-03-10,2025-03-16,0.0,0.0,0.0,734.84,0.0
2_20250317,2,2025-03-17,2025-03-23,0.0,0.0,0.0,734.84,0.0
2_20250324,2,2025-03-24,2025-03-30,0.0,0.0,0.0,734.84,0.0
2_20250331,2,2025-03-31,2025-04-06,0.0,0.0,0.0,734.84,0.0
2_20250407,2,2025-04-07,2025-04-13,0.0,0.0,0.0,734.84,0.0
2_20250414,2,2025-04-14,2025-04-20,0.0,0.0,0.0,734.84,0.0
2_20250421,2,2025-04-21,2025-04-27,464.3695,92.05,0.0,734.84,372.3194
2_20250428,2,2025-04-28,2025-05-04,390.4,75.51,0.0,1107.159,314.89
2_20250505,2,2025-05-05,2025-05-11,461.71,148.53,0.0,1422.04997,313.1795
2_20250512,2,2025-05-12,2025-05-18,221.2302,43.66,0.0,1735.22996,177.5702
2_20250519,2,2025-05-19,2025-05-25,0.0,0.0,0.0,1912.795,0.0
2_20250526,2,2025-05-26,2025-06-01,0.0,0.0,0.0,1912.795,0.0
2_20250602,2,2025-06-02,2025-06-08,0.0,0.0,0.0,1912.795,0.0
2_20250609,2,2025-06-09,2025-06-15,0.0,0.0,0.0,1912.795,0.0
2_20250616,2,2025-06-16,2025-06-22,0.0,0.0,0.0,1912.795,0.0
2_20250623,2,2025-06-23,2025-06-29,0.0,0.0,0.0,1912.795,0.0
2_20250630,2,2025-06-30,2025-07-06,0.0,0.0,0.0,1912.795,0.0
2_20250707,2,2025-07-07,2025-07-13,0.0,0.0,509.01,1912.795,-509.01
2_20250714,2,2025-07-14,2025-07-20,0.0,0.0,0.0,1403.78995,0.0
2_20250721,2,2025-07-21,2025-07-27,0.0,0.0,0.0,1403.78995,0.0
2_20250728,2,2025-07-28,2025-08-03,0.0,0.0,0.0,1403.78995,0.0
2_20250804,2,2025-08-04,2025-08-10,0.0,0.0,0.0,1403.78995,0.0
2_20250811,2,2025-08-11,2025-08-17,0.0,0.0,0.0,1403.78995,0.0
2_20250818,2,2025-08-18,2025-08-24,0.0,0.0,0.0,1403.78995,0.0
2_20250825,2,2025-08-25,2025-08-31,26.55,8.28,0.0,1403.78995,18.27003
2_20250901,2,2025-09-01,2025-09-07,0.0,0.0,0.0,1422.05995,0.0
2_20250908,2,2025-09-08,2025-09-14,0.0,0.0,0.0,1422.05995,0.0
2_20250915,2,2025-09-15,2025-09-21,0.0,0.0,0.0,1422.05995,0.0
2_20250922,2,2025-09-22,2025-09-28,0.0,0.0,0.0,1422.05995,0.0
2_20250929,2,2025-09-29,2025-10-05,0.0,0.0,0.0,1422.05995,0.0
3_20240101,3,2024-01-01,2024-01-07,97.46,18.87,0.0,176.59,78.5899
3_20240108,3,2024-01-08,2024-01-14,0.0,0.0,0.0,255.18,0.0
3_20240115,3,2024-01-15,2024-01-21,0.0,0.0,0.0,255.18,0.0
3_20240122,3,2024-01-22,2024-01-28,55.69,10.93,0.0,255.18,44.76
3_20240129,3,2024-01-29,2024-02-04,0.0,0.0,0.0,299.94,0.0
3_20240205,3,2024-02-05,2024-02-11,139.39,16.58,0.0,299.94,122.8099
3_20240212,3,2024-02-12,2024-02-18,0.0,0.0,0.0,422.75,0.0
3_20240219,3,2024-02-19,2024-02-25,0.0,0.0,0.0,422.75,0.0
3_20240226,3,2024-02-26,2024-03-03,0.0,0.0,0.0,422.75,0.0
3_20240304,3,2024-03-04,2024-03-10,0.0,0.0,0.0,422.75,0.0
3_20240311,3,2024-03-11,2024-03-17,0.0,0.0,0.0,422.75,0.0
3_20240318,3,2024-03-18,2024-03-24,0.0,0.0,0.0,422.75,0.0
3_20240325,3,2024-03-25,2024-03-31,87.9,13.16,0.0,422.75,74.7401
3_20240401,3,2024-04-01,2024-04-07,0.0,0.0,0.0,497.49,0.0
3_20240408,3,2024-04-08,2024-04-14,0.0,0.0,0.0,497.49,0.0
3_20240415,3,2024-04-15,2024-04-21,278.95,92.89,0.0,497.49,186.06
3_20240422,3,2024-04-22,2024-04-28,460.6294,149.79,0.0,683.55,310.839
3_20240429,3,2024-04-29,2024-05-05,314.62,101.8,0.0,994.389,212.82
3_20240506,3,2024-05-06,2024-05-12,63.54,19.85,0.0,1207.20998,43.69
3_20240513,3,2024-05-13,2024-05-19,0.0,0.0,0.0,1250.899,0.0
3_20240520,3,2024-05-20,2024-05-26,0.0,0.0,0.0,1250.899,0.0
3_20240527,3,2024-05-27,2024-06-02,0.0,0.0,0.0,1250.899,0.0
3_20240603,3,2024-06-03,2024-06-09,0.0,0.0,0.0,1250.899,0.0
3_20240610,3,2024-06-10,2024-06-16,0.0,0.0,0.0,1250.899,0.0
3_20240617,3,2024-06-17,2024-06-23,0.0,0.0,600.97,1250.899,-600.97
3_20240624,3,2024-06-24,2024-06-30,0.0,0.0,0.0,649.92998,0.0
3_20240701,3,2024-07-01,2024-07-07,89.89,12.78,0.0,649.92998,77.11
3_20240708,3,2024-07-08,2024-07-14,0.0,0.0,0.0,727.03998,0.0
3_20240715,3,2024-07-15,2024-07-21,0.0,0.0,0.0,727.03998,0.0
3_20240722,3,2024-07-22,2024-07-28,0.0,0.0,0.0,727.03998,0.0
3_20240729,3,2024-07-29,2024-08-04,0.0,0.0,0.0,727.03998,0.0
3_20240805,3,2024-08-05,2024-08-11,0.0,0.0,0.0,727.03998,0.0
3_20240812,3,2024-08-12,2024-08-18,0.0,0.0,0.0,727.03998,0.0
3_20240819,3,2024-08-19,2024-08-25,0.0,0.0,0.0,727.03998,0.0
3_20240826,3,2024-08-26,2024-09-01,0.0,0.0,0.0,727.03998,0.0
3_20240902,3,2024-09-02,2024-09-08,0.0,0.0,0.0,727.03998,0.0
3_20240909,3,2024-09-09,2024-09-15,0.0,0.0,0.0,727.03998,0.0
3_20240916,3,2024-09-16,2024-09-22,0.0,0.0,0.0,727.03998,0.0
3_20240923,3,2024-09-23,2024-09-29,0.0,0.0,0.0,727.03998,0.0
3_20240930,3,2024-09-30,2024-10-06,0.0,0.0,0.0,727.03998,0.0
3_20241007,3,2024-10-07,2024-10-13,0.0,0.0,0.0,727.03998,0.0
3_20241014,3,2024-10-14,2024-10-20,0.0,0.0,0.0,727.03998,0.0
3_20241021,3,2024-10-21,2024-10-27,62.93,14.32,0.0,727.03998,48.61
3_20241028,3,2024-10-28,2024-11-03,0.0,0.0,0.0,775.649,0.0
3_20241104,3,2024-11-04,2024-11-10,0.0,0.0,0.0,775.649,0.0
3_20241111,3,2024-11-11,2024-11-17,0.0,0.0,0.0,775.649,0.0
3_20241118,3,2024-11-18,2024-11-24,0.0,0.0,0.0,775.649,0.0
3_20241125,3,2024-11-25,2024-12-01,23.54,2.72,0.0,775.649,20.82
3_20241202,3,2024-12-02,2024-12-08,0.0,0.0,0.0,796.469,0.0
3_20241209,3,2024-12-09,2024-12-15,29.4,10.07,0.0,796.469,19.33
3_20241216,3,2024-12-16,2024-12-22,0.0,0.0,0.0,815.8,0.0
3_20241223,3,2024-12-23,2024-12-29,0.0,0.0,0.0,815.8,0.0
3_20241230,3,2024-12-30,2025-01-05,0.0,0.0,0.0,815.8,0.0
3_20250106,3,2025-01-06,2025-01-12,0.0,0.0,0.0,815.8,0.0
3_20250113,3,2025-01-13,2025-01-19,0.0,0.0,0.0,815.8,0.0
3_20250120,3,2025-01-20,2025-01-26,0.0,0.0,0.0,815.8,0.0
3_20250127,3,2025-01-27,2025-02-02,30.36,7.4,0.0,815.8,22.96
3_20250203,3,2025-02-03,2025-02-09,0.0,0.0,0.0,838.76,0.0
3_20250210,3,2025-02-10,2025-02-16,389.82,129.74,0.0,838.76,260.08
3_20250217,3,2025-02-17,2025-02-23,269.48,80.54,0.0,1098.84,188.94
3_20250224,3,2025-02-24,2025-03-02,471.3194,66.11,0.0,1287.78,405.209
3_20250303,3,2025-03-03,2025-03-09,0.0,0.0,0.0,1692.98998,0.0
3_20250310,3,2025-03-10,2025-03-16,0.0,0.0,0.0,1692.98998,0.0
3_20250317,3,2025-03-17,2025-03-23,0.0,0.0,0.0,1692.98998,0.0
3_20250324,3,2025-03-24,2025-03-30,0.0,0.0,0.0,1692.98998,0.0
3_20250331,3,2025-03-31,2025-04-06,0.0,0.0,0.0,1692.98998,0.0
3_20250407,3,2025-04-07,2025-04-13,0.0,0.0,0.0,1692.98998,0.0
3_20250414,3,2025-04-14,2025-04-20,0.0,0.0,0.0,1692.98998,0.0
3_20250421,3,2025-04-21,2025-04-27,0.0,0.0,0.0,1692.98998,0.0
3_20250428,3,2025-04-28,2025-05-04,0.0,0.0,0.0,1692.98998,0.0
3_20250505,3,2025-05-05,2025-05-11,0.0,0.0,610.27,1692.98998,-610.27
3_20250512,3,2025-05-12,2025-05-18,0.0,0.0,0.0,1082.71998,0.0
3_20250519,3,2025-05-19,2025-05-25,0.0,0.0,0.0,1082.71998,0.0
3_20250526,3,2025-05-26,2025-06-01,0.0,0.0,0.0,1082.71998,0.0
3_20250602,3,2025-06-02,2025-06-08,0.0,0.0,0.0,1082.71998,0.0
3_20250609,3,2025-06-09,2025-06-15,0.0,0.0,0.0,1082.71998,0.0
3_20250616,3,2025-06-16,2025-06-22,0.0,0.0,0.0,1082.71998,0.0
3_20250623,3,2025-06-23,2025-06-29,0.0,0.0,0.0,1082.71998,0.0
3_20250630,3,2025-06-30,2025-07-06,0.0,0.0,0.0,1082.71998,0.0
3_20250707,3,2025-07-07,2025-07-13,0.0,0.0,0.0,1082.71998,0.0
3_20250714,3,2025-07-14,2025-07-20,0.0,0.0,0.0,1082.71998,0.0
3_20250721,3,2025-07-21,2025-07-27,0.0,0.0,0.0,1082.71998,0.0
3_20250728,3,2025-07-28,2025-08-03,0.0,0.0,0.0,1082.71998,0.0
3_20250804,3,2025-08-04,2025-08-10,0.0,0.0,0.0,1082.71998,0.0
3_20250811,3,2025-08-11,2025-08-17,0.0,0.0,0.0,1082.71998,0.0
3_20250818,3,2025-08-18,2025-08-24,0.0,0.0,0.0,1082.71998,0.0
3_20250825,3,2025-08-25,2025-08-31,0.0,0.0,0.0,1082.71998,0.0
3_20250901,3,2025-09-01,2025-09-07,0.0,0.0,0.0,1082.71998,0.0
3_20250908,3,2025-09-08,2025-09-14,0.0,0.0,0.0,1082.71998,0.0
3_20250915,3,2025-09-15,2025-09-21,0.0,0.0,0.0,1082.71998,0.0
3_20250922,3,2025-09-22,2025-09-28,0.0,0.0,0.0,1082.71998,0.0
3_20250929,3,2025-09-29,2025-10-05,0.0,0.0,0.0,1082.71998,0.0
4_20240101,4,2024-01-01,2024-01-07,0.0,0.0,0.0,276.74,0.0
4_20240108,4,2024-01-08,2024-01-14,0.0,0.0,0.0,276.74,0.0
4_20240115,4,2024-01-15,2024-01-21,0.0,0.0,0.0,276.74,0.0
4_20240122,4,2024-01-22,2024-01-28,0.0,0.0,0.0,276.74,0.0
4_20240129,4,2024-01-29,2024-02-04,0.0,0.0,0.0,276.74,0.0
4_20240205,4,2024-02-05,2024-02-11,0.0,0.0,0.0,276.74,0.0
4_20240212,4,2024-02-12,2024-02-18,0.0,0.0,0.0,276.74,0.0
4_20240219,4,2024-02-19,2024-02-25,0.0,0.0,0.0,276.74,0.0
4_20240226,4,2024-02-26,2024-03-03,0.0,0.0,0.0,276.74,0.0
4_20240304,4,2024-03-04,2024-03-10,0.0,0.0,0.0,276.74,0.0
4_20240311,4,2024-03-11,2024-03-17,0.0,0.0,0.0,276.74,0.0
4_20240318,4,2024-03-18,2024-03-24,329.8304,93.72,0.0,276.74,236.1104
4_20240325,4,2024-03-25,2024-03-31,108.0102,36.85,0.0,512.85,71.1603
4_20240401,4,2024-04-01,2024-04-07,131.37,32.96,0.0,584.01,98.41
4_20240408,4,2024-04-08,2024-04-14,0.0,0.0,0.0,682.42,0.0
4_20240415,4,2024-04-15,2024-04-21,0.0,0.0,0.0,682.42,0.0
4_20240422,4,2024-04-22,2024-04-28,0.0,0.0,221.77,682.42,-221.77
4_20240429,4,2024-04-29,2024-05-05,0.0,0.0,0.0,460.65,0.0
4_20240506,4,2024-05-06,2024-05-12,0.0,0.0,0.0,460.65,0.0
4_20240513,4,2024-05-13,2024-05-19,0.0,0.0,0.0,460.65,0.0
4_20240520,4,2024-05-20,2024-05-26,0.0,0.0,0.0,460.65,0.0
4_20240527,4,2024-05-27,2024-06-02,142.7,44.56,0.0,460.65,98.1399
4_20240603,4,2024-06-03,2024-06-09,92.61,30.99,0.0,558.79,61.62005
4_20240610,4,2024-06-10,2024-06-16,0.0,0.0,0.0,620.41,0.0
4_20240617,4,2024-06-17,2024-06-23,0.0,0.0,0.0,620.41,0.0
4_20240624,4,2024-06-24,2024-06-30,0.0,0.0,0.0,620.41,0.0
4_20240701,4,2024-07-01,2024-07-07,0.0,0.0,0.0,620.41,0.0
4_20240708,4,2024-07-08,2024-07-14,0.0,0.0,0.0,620.41,0.0
4_20240715,4,2024-07-15,2024-07-21,0.0,0.0,0.0,620.41,0.0
4_20240722,4,2024-07-22,2024-07-28,0.0,0.0,0.0,620.41,0.0
4_20240729,4,2024-07-29,2024-08-04,0.0,0.0,0.0,620.41,0.0
4_20240805,4,2024-08-05,2024-08-11,0.0,0.0,0.0,620.41,0.0
4_20240812,4,2024-08-12,2024-08-18,0.0,0.0,0.0,620.41,0.0
4_20240819,4,2024-08-19,2024-08-25,0.0,0.0,0.0,620.41,0.0
4_20240826,4,2024-08-26,2024-09-01,0.0,0.0,0.0,620.41,0.0
4_20240902,4,2024-09-02,2024-09-08,0.0,0.0,0.0,620.41,0.0
4_20240909,4,2024-09-09,2024-09-15,0.0,0.0,0.0,620.41,0.0
4_20240916,4,2024-09-16,2024-09-22,0.0,0.0,0.0,620.41,0.0
4_20240923,4,2024-09-23,2024-09-29,0.0,0.0,0.0,620.41,0.0
4_20240930,4,2024-09-30,2024-10-06,0.0,0.0,0.0,620.41,0.0
4_20241007,4,2024-10-07,2024-10-13,0.0,0.0,0.0,620.41,0.0
4_20241014,4,2024-10-14,2024-10-20,0.0,0.0,0.0,620.41,0.0
4_20241021,4,2024-10-21,2024-10-27,0.0,0.0,0.0,620.41,0.0
4_20241028,4,2024-10-28,2024-11-03,0.0,0.0,0.0,620.41,0.0
4_20241104,4,2024-11-04,2024-11-10,118.37,27.32,0.0,620.41,91.0501
4_20241111,4,2024-11-11,2024-11-17,0.0,0.0,0.0,711.46,0.0
4_20241118,4,2024-11-18,2024-11-24,110.18,30.09,0.0,711.46,80.09
4_20241125,4,2024-11-25,2024-12-01,171.01,22.1,0.0,791.5501,148.91
4_20241202,4,2024-12-02,2024-12-08,619.319,148.04,0.0,940.46,471.28
