invoice_id,item_type,amount
1_20240624,credits_due,-0.0
1_20240624,from_balance,940.64
1_20240624,total,0.0
1_20240701,sales,0.0
1_20240701,fees,-0.0
1_20240701,credits_due,-0.0
1_20240701,from_balance,940.64
1_20240701,total,0.0
1_20240708,sales,0.0
1_20240708,fees,-0.0
1_20240708,credits_due,-348.79
1_20240708,from_balance,940.64
1_20240708,total,-348.79
1_20240715,sales,0.0
1_20240715,fees,-0.0
1_20240715,credits_due,-0.0
1_20240715,from_balance,591.8499
1_20240715,total,0.0
1_20240722,sales,0.0
1_20240722,fees,-0.0
1_20240722,credits_due,-0.0
1_20240722,from_balance,591.8499
1_20240722,total,0.0
1_20240729,sales,0.0
1_20240729,fees,-0.0
1_20240729,credits_due,-0.0
1_20240729,from_balance,591.8499
1_20240729,total,0.0
1_20240805,sales,0.0
1_20240805,fees,-0.0
1_20240805,credits_due,-0.0
1_20240805,from_balance,591.8499
1_20240805,total,0.0
1_20240812,sales,0.0
1_20240812,fees,-0.0
1_20240812,credits_due,-0.0
1_20240812,from_balance,591.8499
1_20240812,total,0.0
1_20240819,sales,0.0
1_20240819,fees,-0.0
1_20240819,credits_due,-0.0
1_20240819,from_balance,591.8499
1_20240819,total,0.0
1_20240826,sales,61.16
1_20240826,fees,-19.45
1_20240826,credits_due,-0.0
1_20240826,from_balance,591.8499
1_20240826,total,41.709994
1_20240902,sales,70.29
1_20240902,fees,-12.73
1_20240902,credits_due,-0.0
1_20240902,from_balance,633.56
1_20240902,total,57.56
1_20240909,sales,0.0
1_20240909,fees,-0.0
1_20240909,credits_due,-0.0
1_20240909,from_balance,691.1199
1_20240909,total,0.0
1_20240916,sales,0.0
1_20240916,fees,-0.0
1_20240916,credits_due,-0.0
1_20240916,from_balance,691.1199
1_20240916,total,0.0
1_20240923,sales,0.0
1_20240923,fees,-0.0
1_20240923,credits_due,-0.0
1_20240923,from_balance,691.1199
1_20240923,total,0.0
1_20240930,sales,0.0
1_20240930,fees,-0.0
1_20240930,credits_due,-0.0
1_20240930,from_balance,691.1199
1_20240930,total,0.0
1_20241007,sales,0.0
1_20241007,fees,-0.0
1_20241007,credits_due,-0.0
1_20241007,from_balance,691.1199
1_20241007,total,0.0
1_20241014,sales,0.0
1_20241014,fees,-0.0
1_20241014,credits_due,-0.0
1_20241014,from_balance,691.1199
1_20241014,total,0.0
1_20241021,sales,0.0
1_20241021,fees,-0.0
1_20241021,credits_due,-0.0
1_20241021,from_balance,691.1199
1_20241021,total,0.0
1_20241028,sales,0.0
1_20241028,fees,-0.0
1_20241028,credits_due,-0.0
1_20241028,from_balance,691.1199
1_20241028,total,0.0
1_20241104,sales,0.0
1_20241104,fees,-0.0
1_20241104,credits_due,-0.0
1_20241104,from_balance,691.1199
1_20241104,total,0.0
1_20241111,sales,0.0
1_20241111,fees,-0.0
1_20241111,credits_due,-0.0
1_20241111,from_balance,691.1199
1_20241111,total,0.0
1_20241118,sales,0.0
1_20241118,fees,-0.0
1_20241118,credits_due,-0.0
1_20241118,from_balance,691.1199
1_20241118,total,0.0
1_20241125,sales,135.53
1_20241125,fees,-15.46
1_20241125,credits_due,-0.0
1_20241125,from_balance,691.1199
1_20241125,total,120.07
1_20241202,sales,0.0
1_20241202,fees,-0.0
1_20241202,credits_due,-0.0
1_20241202,from_balance,811.1898
1_20241202,total,0.0
1_20241209,sales,0.0
1_20241209,fees,-0.0
1_20241209,credits_due,-0.0
1_20241209,from_balance,811.1898
1_20241209,total,0.0
1_20241216,sales,0.0
1_20241216,fees,-0.0
1_20241216,credits_due,-0.0
1_20241216,from_balance,811.1898
1_20241216,total,0.0
1_20241223,sales,0.0
1_20241223,fees,-0.0
1_20241223,credits_due,-0.0
1_20241223,from_balance,811.1898
1_20241223,total,0.0
1_20241230,sales,0.0
1_20241230,fees,-0.0
1_20241230,credits_due,-0.0
1_20241230,from_balance,811.1898
1_20241230,total,0.0
1_20250106,sales,0.0
1_20250106,fees,-0.0
1_20250106,credits_due,-0.0
1_20250106,from_balance,811.1898
1_20250106,total,0.0
1_20250113,sales,0.0
1_20250113,fees,-0.0
1_20250113,credits_due,-0.0
1_20250113,from_balance,811.1898
1_20250113,total,0.0
1_20250120,sales,0.0
1_20250120,fees,-0.0
1_20250120,credits_due,-0.0
1_20250120,from_balance,811.1898
1_20250120,total,0.0
1_20250127,sales,0.0
1_20250127,fees,-0.0
1_20250127,credits_due,-0.0
1_20250127,from_balance,811.1898
1_20250127,total,0.0
1_20250203,sales,0.0
1_20250203,fees,-0.0
1_20250203,credits_due,-0.0
1_20250203,from_balance,811.1898
1_20250203,total,0.0
1_20250210,sales,0.0
1_20250210,fees,-0.0
1_20250210,credits_due,-0.0
1_20250210,from_balance,811.1898
1_20250210,total,0.0
1_20250217,sales,0.0
1_20250217,fees,-0.0
1_20250217,credits_due,-0.0
1_20250217,from_balance,811.1898
1_20250217,total,0.0
1_20250224,sales,0.0
1_20250224,fees,-0.0
1_20250224,credits_due,-0.0
1_20250224,from_balance,811.1898
1_20250224,total,0.0
1_20250303,sales,0.0
1_20250303,fees,-0.0
1_20250303,credits_due,-0.0
1_20250303,from_balance,811.1898
1_20250303,total,0.0
1_20250310,sales,0.0
1_20250310,fees,-0.0
1_20250310,credits_due,-0.0
1_20250310,from_balance,811.1898
1_20250310,total,0.0
1_20250317,sales,0.0
1_20250317,fees,-0.0
1_20250317,credits_due,-0.0
1_20250317,from_balance,811.1898
1_20250317,total,0.0
1_20250324,sales,0.0
1_20250324,fees,-0.0
1_20250324,credits_due,-0.0
1_20250324,from_balance,811.1898
1_20250324,total,0.0
1_20250331,sales,0.0
1_20250331,fees,-0.0
1_20250331,credits_due,-0.0
1_20250331,from_balance,811.1898
1_20250331,total,0.0
1_20250407,sales,0.0
1_20250407,fees,-0.0
1_20250407,credits_due,-0.0
1_20250407,from_balance,811.1898
1_20250407,total,0.0
1_20250414,sales,0.0
1_20250414,fees,-0.0
1_20250414,credits_due,-0.0
1_20250414,from_balance,811.1898
1_20250414,total,0.0
1_20250421,sales,33.58
1_20250421,fees,-9.71
1_20250421,credits_due,-0.0
1_20250421,from_balance,811.1898
1_20250421,total,23.869997
1_20250428,sales,0.0
1_20250428,fees,-0.0
1_20250428,credits_due,-0.0
1_20250428,from_balance,835.0598
1_20250428,total,0.0
1_20250505,sales,0.0
1_20250505,fees,-0.0
1_20250505,credits_due,-0.0
1_20250505,from_balance,835.0598
1_20250505,total,0.0
1_20250512,sales,0.0
1_20250512,fees,-0.0
1_20250512,credits_due,-0.0
1_20250512,from_balance,835.0598
1_20250512,total,0.0
1_20250519,sales,0.0
1_20250519,fees,-0.0
1_20250519,credits_due,-0.0
1_20250519,from_balance,835.0598
1_20250519,total,0.0
1_20250526,sales,0.0
1_20250526,fees,-0.0
1_20250526,credits_due,-0.0
1_20250526,from_balance,835.0598
1_20250526,total,0.0
1_20250602,sales,0.0
1_20250602,fees,-0.0
1_20250602,credits_due,-0.0
1_20250602,from_balance,835.0598
1_20250602,total,0.0
1_20250609,sales,0.0
1_20250609,fees,-0.0
1_20250609,credits_due,-0.0
1_20250609,from_balance,835.0598
1_20250609,total,0.0
1_20250616,sales,0.0
1_20250616,fees,-0.0
1_20250616,credits_due,-0.0
1_20250616,from_balance,835.0598
1_20250616,total,0.0
1_20250623,sales,0.0
1_20250623,fees,-0.0
1_20250623,credits_due,-0.0
1_20250623,from_balance,835.0598
1_20250623,total,0.0
1_20250630,sales,0.0
1_20250630,fees,-0.0
1_20250630,credits_due,-0.0
1_20250630,from_balance,835.0598
1_20250630,total,0.0
1_20250707,sales,0.0
1_20250707,fees,-0.0
1_20250707,credits_due,-0.0
1_20250707,from_balance,835.0598
1_20250707,total,0.0
1_20250714,sales,0.0
1_20250714,fees,-0.0
1_20250714,credits_due,-0.0
1_20250714,from_balance,835.0598
1_20250714,total,0.0
1_20250721,sales,0.0
1_20250721,fees,-0.0
1_20250721,credits_due,-0.0
1_20250721,from_balance,835.0598
1_20250721,total,0.0
1_20250728,sales,0.0
1_20250728,fees,-0.0
1_20250728,credits_due,-0.0
1_20250728,from_balance,835.0598
1_20250728,total,0.0
1_20250804,sales,0.0
1_20250804,fees,-0.0
1_20250804,credits_due,-0.0
1_20250804,from_balance,835.0598
1_20250804,total,0.0
1_20250811,sales,0.0
1_20250811,fees,-0.0
1_20250811,credits_due,-0.0
1_20250811,from_balance,835.0598
1_20250811,total,0.0
1_20250818,sales,0.0
1_20250818,fees,-0.0
1_20250818,credits_due,-0.0
1_20250818,from_balance,835.0598
1_20250818,total,0.0
1_20250825,sales,0.0
1_20250825,fees,-0.0
1_20250825,credits_due,-0.0
1_20250825,from_balance,835.0598
1_20250825,total,0.0
1_20250901,sales,0.0
1_20250901,fees,-0.0
1_20250901,credits_due,-0.0
1_20250901,from_balance,835.0598
1_20250901,total,0.0
1_20250908,sales,0.0
1_20250908,fees,-0.0
1_20250908,credits_due,-0.0
1_20250908,from_balance,835.0598
1_20250908,total,0.0
1_20250915,sales,0.0
1_20250915,fees,-0.0
1_20250915,credits_due,-0.0
1_20250915,from_balance,835.0598
1_20250915,total,0.0
1_20250922,sales,0.0
1_20250922,fees,-0.0
1_20250922,credits_due,-0.0
1_20250922,from_balance,835.0598
1_20250922,total,0.0
1_20250929,sales,0.0
1_20250929,fees,-0.0
1_20250929,credits_due,-0.0
1_20250929,from_balance,835.0598
1_20250929,total,0.0
2_20240101,sales,0.0
2_20240101,fees,-0.0
2_20240101,credits_due,-0.0
2_20240101,from_balance,352.3
2_20240101,total,0.0
2_20240108,sales,0.0
2_20240108,fees,-0.0
2_20240108,credits_due,-0.0
2_20240108,from_balance,352.3
2_20240108,total,0.0
2_20240115,sales,0.0
2_20240115,fees,-0.0
2_20240115,credits_due,-0.0
2_20240115,from_balance,352.3
2_20240115,total,0.0
2_20240122,sales,0.0
2_20240122,fees,-0.0
2_20240122,credits_due,-0.0
2_20240122,from_balance,352.3
2_20240122,total,0.0
2_20240129,sales,0.0
2_20240129,fees,-0.0
2_20240129,credits_due,-0.0
2_20240129,from_balance,352.3
2_20240129,total,0.0
2_20240205,sales,99.7
2_20240205,fees,-26.42
2_20240205,credits_due,-0.0
2_20240205,from_balance,352.3
2_20240205,total,73.28
2_20240212,sales,0.0
2_20240212,fees,-0.0
2_20240212,credits_due,-0.0
2_20240212,from_balance,425.58000000000004
2_20240212,total,0.0
2_20240219,sales,0.0
2_20240219,fees,-0.0
2_20240219,credits_due,-0.0
2_20240219,from_balance,425.58000000000004
2_20240219,total,0.0
2_20240226,sales,0.0
2_20240226,fees,-0.0
2_20240226,credits_due,-0.0
2_20240226,from_balance,425.58000000000004
2_20240226,total,0.0
2_20240304,sales,0.0
2_20240304,fees,-0.0
2_20240304,credits_due,-0.0
2_20240304,from_balance,425.58000000000004
2_20240304,total,0.0
2_20240311,sales,0.0
2_20240311,fees,-0.0
2_20240311,credits_due,-0.0
2_20240311,from_balance,425.58000000000004
2_20240311,total,0.0
2_20240318,sales,10.6
2_20240318,fees,-2.86
2_20240318,credits_due,-0.0
2_20240318,from_balance,425.58000000000004
2_20240318,total,7.74
2_20240325,sales,0.0
2_20240325,fees,-0.0
2_20240325,credits_due,-0.0
2_20240325,from_balance,433.32000000000005
2_20240325,total,0.0
2_20240401,sales,0.0
2_20240401,fees,-0.0
2_20240401,credits_due,-0.0
2_20240401,from_balance,433.32000000000005
2_20240401,total,0.0
2_20240408,sales,36.63
2_20240408,fees,-5.54
2_20240408,credits_due,-0.0
2_20240408,from_balance,433.32000000000005
2_20240408,total,31.090000000000003
2_20240415,sales,0.0
2_20240415,fees,-0.0
2_20240415,credits_due,-0.0
2_20240415,from_balance,464.4100000000001
2_20240415,total,0.0
2_20240422,sales,0.0
2_20240422,fees,-0.0
2_20240422,credits_due,-0.0
2_20240422,from_balance,464.4100000000001
2_20240422,total,0.0
2_20240429,sales,0.0
2_20240429,fees,-0.0
2_20240429,credits_due,-0.0
2_20240429,from_balance,464.4100000000001
2_20240429,total,0.0
2_20240506,sales,0.0
2_20240506,fees,-0.0
2_20240506,credits_due,-0.0
2_20240506,from_balance,464.4100000000001
2_20240506,total,0.0
2_20240513,sales,0.0
2_20240513,fees,-0.0
2_20240513,credits_due,-0.0
2_20240513,from_balance,464.4100000000001
2_20240513,total,0.0
2_20240520,sales,0.0
2_20240520,fees,-0.0
2_20240520,credits_due,-0.0
2_20240520,from_balance,464.4100000000001
2_20240520,total,0.0
2_20240527,sales,0.0
2_20240527,fees,-0.0
2_20240527,credits_due,-0.0
2_20240527,from_balance,464.4100000000001
2_20240527,total,0.0
2_20240603,sales,0.0
2_20240603,fees,-0.0
2_20240603,credits_due,-0.0
2_20240603,from_balance,464.4100000000001
2_20240603,total,0.0
2_20240610,sales,0.0
2_20240610,fees,-0.0
2_20240610,credits_due,-0.0
2_20240610,from_balance,464.4100000000001
2_20240610,total,0.0
2_20240617,sales,0.0
2_20240617,fees,-0.0
2_20240617,credits_due,-0.0
2_20240617,from_balance,464.4100000000001
2_20240617,total,0.0
2_20240624,sales,0.0
2_20240624,fees,-0.0
2_20240624,credits_due,-0.0
2_20240624,from_balance,464.4100000000001
2_20240624,total,0.0
2_20240701,sales,0.0
2_20240701,fees,-0.0
2_20240701,credits_due,-0.0
2_20240701,from_balance,464.4100000000001
2_20240701,total,0.0
2_20240708,sales,0.0
2_20240708,fees,-0.0
2_20240708,credits_due,-0.0
2_20240708,from_balance,464.4100000000001
2_20240708,total,0.0
2_20240715,sales,0.0
2_20240715,fees,-0.0
2_20240715,credits_due,-0.0
2_20240715,from_balance,464.4100000000001
2_20240715,total,0.0
2_20240722,sales,0.0
2_20240722,fees,-0.0
2_20240722,credits_due,-0.0
2_20240722,from_balance,464.4100000000001
2_20240722,total,0.0
2_20240729,sales,0.0
2_20240729,fees,-0.0
2_20240729,credits_due,-0.0
2_20240729,from_balance,464.4100000000001
2_20240729,total,0.0
2_20240805,sales,0.0
2_20240805,fees,-0.0
2_20240805,credits_due,-0.0
2_20240805,from_balance,464.4100000000001
2_20240805,total,0.0
2_20240812,sales,56.42
2_20240812,fees,-9.39
2_20240812,credits_due,-0.0
2_20240812,from_balance,464.4100000000001
2_20240812,total,47.03
2_20240819,sales,0.0
2_20240819,fees,-0.0
2_20240819,credits_due,-0.0
2_20240819,from_balance,511.44000000000005
2_20240819,total,0.0
2_20240826,sales,0.0
2_20240826,fees,-0.0
2_20240826,credits_due,-0.0
2_20240826,from_balance,511.44000000000005
2_20240826,total,0.0
2_20240902,sales,107.32
2_20240902,fees,-19.61
2_20240902,credits_due,-0.0
2_20240902,from_balance,511.44000000000005
2_20240902,total,87.71
2_20240909,sales,0.0
2_20240909,fees,-0.0
2_20240909,credits_due,-0.0
2_20240909,from_balance,599.1500000000001
2_20240909,total,0.0
2_20240916,sales,0.0
2_20240916,fees,-0.0
2_20240916,credits_due,-0.0
2_20240916,from_balance,599.1500000000001
2_20240916,total,0.0
2_20240923,sales,0.0
2_20240923,fees,-0.0
2_20240923,credits_due,-0.0
2_20240923,from_balance,599.1500000000001
2_20240923,total,0.0
2_20240930,sales,342.78
2_20240930,fees,-108.41
2_20240930,credits_due,-0.0
2_20240930,from_balance,599.1500000000001
2_20240930,total,234.36998
2_20241007,sales,182.20000000000002
2_20241007,fees,-21.49
2_20241007,credits_due,-0.0
2_20241007,from_balance,833.5200000000001
2_20241007,total,160.71
2_20241014,sales,110.92
2_20241014,fees,-28.09
2_20241014,credits_due,-0.0
2_20241014,from_balance,994.2300000000001
2_20241014,total,82.83
2_20241021,sales,0.0
2_20241021,fees,-0.0
2_20241021,credits_due,-0.0
2_20241021,from_balance,1077.0600000000002
2_20241021,total,0.0
2_20241028,sales,0.0
2_20241028,fees,-0.0
2_20241028,credits_due,-0.0
2_20241028,from_balance,1077.0600000000002
2_20241028,total,0.0
2_20241104,sales,0.0
2_20241104,fees,-0.0
2_20241104,credits_due,-0.0
2_20241104,from_balance,1077.0600000000002
2_20241104,total,0.0
2_20241111,sales,0.0
2_20241111,fees,-0.0
2_20241111,credits_due,-0.0
2_20241111,from_balance,1077.0600000000002
2_20241111,total,0.0
2_20241118,sales,0.0
2_20241118,fees,-0.0
2_20241118,credits_due,-614.49
2_20241118,from_balance,1077.0600000000002
2_20241118,total,-614.49
2_20241125,sales,0.0
2_20241125,fees,-0.0
2_20241125,credits_due,-0.0
2_20241125,from_balance,462.57000000000016
2_20241125,total,0.0
2_20241202,sales,13.05
2_20241202,fees,-1.32
2_20241202,credits_due,-0.0
2_20241202,from_balance,462.57000000000016
2_20241202,total,11.73
2_20241209,sales,0.0
2_20241209,fees,-0.0
2_20241209,credits_due,-0.0
2_20241209,from_balance,474.3000000000002
2_20241209,total,0.0
2_20241216,sales,84.86
2_20241216,fees,-19.81
2_20241216,credits_due,-0.0
2_20241216,from_balance,474.3000000000002
2_20241216,total,65.05
2_20241223,sales,0.0
2_20241223,fees,-0.0
2_20241223,credits_due,-0.0
2_20241223,from_balance,539.3500000000001
2_20241223,total,0.0
2_20241230,sales,0.0
2_20241230,fees,-0.0
2_20241230,credits_due,-0.0
2_20241230,from_balance,539.3500000000001
2_20241230,total,0.0
2_20250106,sales,0.0
2_20250106,fees,-0.0
2_20250106,credits_due,-0.0
2_20250106,from_balance,539.3500000000001
2_20250106,total,0.0
2_20250113,sales,0.0
2_20250113,fees,-0.0
2_20250113,credits_due,-0.0
2_20250113,from_balance,539.3500000000001
2_20250113,total,0.0
2_20250120,sales,0.0
2_20250120,fees,-0.0
2_20250120,credits_due,-0.0
2_20250120,from_balance,539.3500000000001
2_20250120,total,0.0
2_20250127,sales,0.0
2_20250127,fees,-0.0
2_20250127,credits_due,-0.0
2_20250127,from_balance,539.3500000000001
2_20250127,total,0.0
2_20250203,sales,92.87
2_20250203,fees,-9.32
2_20250203,credits_due,-0.0
2_20250203,from_balance,539.3500000000001
2_20250203,total,83.55000000000001
2_20250210,sales,94.03
2_20250210,fees,-30.02
2_20250210,credits_due,-0.0
2_20250210,from_balance,622.9000000000001
2_20250210,total,64.01
2_20250217,sales,59.57
2_20250217,fees,-11.64
2_20250217,credits_due,-0.0
2_20250217,from_balance,686.9100000000001
2_20250217,total,47.93
2_20250224,sales,0.0
2_20250224,fees,-0.0
2_20250224,credits_due,-0.0
2_20250224,from_balance,734.84
2_20250224,total,0.0
2_20250303,sales,0.0
2_20250303,fees,-0.0
2_20250303,credits_due,-0.0
2_20250303,from_balance,734.84
2_20250303,total,0.0
2_20250310,sales,0.0
2_20250310,fees,-0.0
2_20250310,credits_due,-0.0
2_20250310,from_balance,734.84
2_20250310,total,0.0
2_20250317,sales,0.0
2_20250317,fees,-0.0
2_20250317,credits_due,-0.0
2_20250317,from_balance,734.84
2_20250317,total,0.0
2_20250324,sales,0.0
2_20250324,fees,-0.0
2_20250324,credits_due,-0.0
2_20250324,from_balance,734.84
2_20250324,total,0.0
2_20250331,sales,0.0
2_20250331,fees,-0.0
2_20250331,credits_due,-0.0
2_20250331,from_balance,734.84
2_20250331,total,0.0
2_20250407,sales,0.0
2_20250407,fees,-0.0
2_20250407,credits_due,-0.0
2_20250407,from_balance,734.84
2_20250407,total,0.0
2_20250414,sales,0.0
2_20250414,fees,-0.0
2_20250414,credits_due,-0.0
2_20250414,from_balance,734.84
2_20250414,total,0.0
2_20250421,sales,464.36995
2_20250421,fees,-92.05
2_20250421,credits_due,-0.0
2_20250421,from_balance,734.84
2_20250421,total,372.31994
2_20250428,sales,390.4
2_20250428,fees,-75.51
2_20250428,credits_due,-0.0
2_20250428,from_balance,1107.1599
2_20250428,total,314.89
2_20250505,sales,461.71
2_20250505,fees,-148.53
2_20250505,credits_due,-0.0
2_20250505,from_balance,1422.0497
2_20250505,total,313.17995
2_20250512,sales,221.23000000000002
2_20250512,fees,-43.66
2_20250512,credits_due,-0.0
2_20250512,from_balance,1735.2296
2_20250512,total,177.57000000000002
2_20250519,sales,0.0
2_20250519,fees,-0.0
2_20250519,credits_due,-0.0
2_20250519,from_balance,1912.7995
2_20250519,total,0.0
2_20250526,sales,0.0
2_20250526,fees,-0.0
2_20250526,credits_due,-0.0
2_20250526,from_balance,1912.7995
2_20250526,total,0.0
2_20250602,sales,0.0
2_20250602,fees,-0.0
2_20250602,credits_due,-0.0
2_20250602,from_balance,1912.7995
2_20250602,total,0.0
2_20250609,sales,0.0
2_20250609,fees,-0.0
2_20250609,credits_due,-0.0
2_20250609,from_balance,1912.7995
2_20250609,total,0.0
2_20250616,sales,0.0
2_20250616,fees,-0.0
2_20250616,credits_due,-0.0
2_20250616,from_balance,1912.7995
2_20250616,total,0.0
2_20250623,sales,0.0
2_20250623,fees,-0.0
2_20250623,credits_due,-0.0
2_20250623,from_balance,1912.7995
2_20250623,total,0.0
2_20250630,sales,0.0
2_20250630,fees,-0.0
2_20250630,credits_due,-0.0
2_20250630,from_balance,1912.7995
2_20250630,total,0.0
2_20250707,sales,0.0
2_20250707,fees,-0.0
2_20250707,credits_due,-509.01
2_20250707,from_balance,1912.7995
2_20250707,total,-509.01
2_20250714,sales,0.0
2_20250714,fees,-0.0
2_20250714,credits_due,-0.0
2_20250714,from_balance,1403.7895
2_20250714,total,0.0
2_20250721,sales,0.0
2_20250721,fees,-0.0
2_20250721,credits_due,-0.0
2_20250721,from_balance,1403.7895
2_20250721,total,0.0
2_20250728,sales,0.0
2_20250728,fees,-0.0
2_20250728,credits_due,-0.0
2_20250728,from_balance,1403.7895
2_20250728,total,0.0
2_20250804,sales,0.0
2_20250804,fees,-0.0
2_20250804,credits_due,-0.0
2_20250804,from_balance,1403.7895
2_20250804,total,0.0
2_20250811,sales,0.0
2_20250811,fees,-0.0
2_20250811,credits_due,-0.0
2_20250811,from_balance,1403.7895
2_20250811,total,0.0
2_20250818,sales,0.0
2_20250818,fees,-0.0
2_20250818,credits_due,-0.0
2_20250818,from_balance,1403.7895
2_20250818,total,0.0
2_20250825,sales,26.55
2_20250825,fees,-8.28
2_20250825,credits_due,-0.0
2_20250825,from_balance,1403.7895
2_20250825,total,18.270000000000003
2_20250901,sales,0.0
2_20250901,fees,-0.0
2_20250901,credits_due,-0.0
2_20250901,from_balance,1422.0595
2_20250901,total,0.0
2_20250908,sales,0.0
2_20250908,fees,-0.0
2_20250908,credits_due,-0.0
2_20250908,from_balance,1422.0595
2_20250908,total,0.0
2_20250915,sales,0.0
2_20250915,fees,-0.0
2_20250915,credits_due,-0.0
2_20250915,from_balance,1422.0595
2_20250915,total,0.0
2_20250922,sales,0.0
2_20250922,fees,-0.0
2_20250922,credits_due,-0.0
2_20250922,from_balance,1422.0595
2_20250922,total,0.0
2_20250929,sales,0.0
2_20250929,fees,-0.0
2_20250929,credits_due,-0.0
2_20250929,from_balance,1422.0595
2_20250929,total,0.0
3_20240101,sales,97.46
3_20240101,fees,-18.87
3_20240101,credits_due,-0.0
3_20240101,from_balance,176.59
3_20240101,total,78.58999
3_20240108,sales,0.0
3_20240108,fees,-0.0
3_20240108,credits_due,-0.0
3_20240108,from_balance,255.18
3_20240108,total,0.0
3_20240115,sales,0.0
3_20240115,fees,-0.0
3_20240115,credits_due,-0.0
3_20240115,from_balance,255.18
3_20240115,total,0.0
3_20240122,sales,55.69
3_20240122,fees,-10.93
3_20240122,credits_due,-0.0
3_20240122,from_balance,255.18
3_20240122,total,44.76
3_20240129,sales,0.0
3_20240129,fees,-0.0
3_20240129,credits_due,-0.0
3_20240129,from_balance,299.94
3_20240129,total,0.0
3_20240205,sales,139.39
3_20240205,fees,-16.58
3_20240205,credits_due,-0.0
3_20240205,from_balance,299.94
3_20240205,total,122.80999
3_20240212,sales,0.0
3_20240212,fees,-0.0
3_20240212,credits_due,-0.0
3_20240212,from_balance,422.75
3_20240212,total,0.0
3_20240219,sales,0.0
3_20240219,fees,-0.0
3_20240219,credits_due,-0.0
3_20240219,from_balance,422.75
3_20240219,total,0.0
3_20240226,sales,0.0
3_20240226,fees,-0.0
3_20240226,credits_due,-0.0
3_20240226,from_balance,422.75
3_20240226,total,0.0
3_20240304,sales,0.0
3_20240304,fees,-0.0
3_20240304,credits_due,-0.0
3_20240304,from_balance,422.75
3_20240304,total,0.0
