credit_id,user_id,role,message_time,message
27,5,SAM,2024-12-29 16:55:30.331735,Approved
28,6,AM,2024-12-21 19:37:41.877040,Requesting credit of $231.24 for seller 240
28,2,SAM,2024-12-23 19:37:41.877040,Approved
29,18,AM,2024-06-20 13:21:37.967972,Requesting credit of $715.25 for seller 161
29,5,SAM,2024-06-20 19:21:37.967972,Approved
30,9,AM,2024-04-09 09:55:20.863055,Requesting credit of $370.81 for seller 153
30,1,SAM,2024-04-11 08:55:20.863055,Approved
31,16,AM,2025-02-05 05:44:33.726196,Requesting credit of $652.17 for seller 263
31,2,SAM,2025-02-05 20:44:33.726196,Approved
32,18,AM,2025-07-19 13:24:19.096465,Requesting credit of $602.73 for seller 15
32,5,SAM,2025-07-21 09:24:19.096465,Approved
33,15,AM,2025-01-31 21:29:11.801702,Requesting credit of $507.55 for seller 135
33,2,SAM,2025-02-02 19:29:11.801702,Approved
34,4,AM,2024-09-02 12:06:47.175349,Requesting credit of $499.77 for seller 46
34,2,SAM,2024-09-04 03:06:47.175349,Rejected
35,18,AM,2025-03-26 05:56:22.488771,Requesting credit of $539.78 for seller 27
35,5,SAM,2025-03-27 10:56:22.488771,Approved
36,9,AM,2024-01-29 05:06:38.425720,Requesting credit of $593.69 for seller 186
36,1,SAM,2024-01-29 12:06:38.425720,Approved
37,6,AM,2024-08-29 05:00:45.821013,Requesting credit of $410.75 for seller 103
37,2,SAM,2024-08-29 22:00:45.821013,Approved
38,4,AM,2024-08-02 20:45:49.463846,Requesting credit of $664.19 for seller 99
38,2,SAM,2024-08-04 16:45:49.463846,Approved
39,8,AM,2024-11-14 20:31:17.655279,Requesting credit of $488.59 for seller 91
39,5,SAM,2024-11-16 02:31:17.655279,Rejected
40,6,AM,2025-08-06 11:20:45.633438,Requesting credit of $505.04 for seller 293
40,2,SAM,2025-08-08 08:20:45.633438,Approved
41,8,AM,2024-12-05 20:04:10.736679,Requesting credit of $365.33 for seller 287
41,5,SAM,2024-12-07 02:04:10.736679,Approved
42,12,AM,2024-04-14 01:52:53.244672,Requesting credit of $535.74 for seller 291
42,1,SAM,2024-04-14 17:52:53.244672,Approved
43,1,AM,2024-11-28 00:22:55.986724,Requesting credit of $336.2 for seller 284
43,1,SAM,2024-11-29 01:22:55.986724,Approved
44,12,AM,2024-04-19 02:31:43.302191,Requesting credit of $202.15 for seller 10
44,1,SAM,2024-04-20 19:31:43.302191,Approved
45,12,AM,2024-07-31 23:19:24.876772,Requesting credit of $401.47 for seller 200
45,1,SAM,2024-08-02 01:19:24.876772,Approved
46,18,AM,2024-06-17 16:01:05.607971,Requesting credit of $677.17 for seller 106
46,5,SAM,2024-06-19 16:01:05.607971,Approved
47,11,AM,2024-01-15 13:46:04.821012,Requesting credit of $753.61 for seller 86
47,4,SAM,2024-01-16 23:46:04.821012,Approved
48,7,AM,2024-09-05 22:37:43.605531,Requesting credit of $646.65 for seller 35
48,1,SAM,2024-09-06 10:37:43.605531,Approved
49,1,AM,2024-10-27 21:54:29.626170,Requesting credit of $352.33 for seller 57
49,1,SAM,2024-10-29 06:54:29.626170,Rejected
50,11,AM,2024-01-04 10:31:20.890671,Requesting credit of $730.81 for seller 33
50,4,SAM,2024-01-05 06:31:20.890671,Approved
51,11,AM,2025-01-28 14:17:13.429003,Requesting credit of $575.87 for seller 120
51,4,SAM,2025-01-29 18:17:13.429003,Approved
52,6,AM,2025-04-17 00:56:25.752589,Requesting credit of $289.46 for seller 218
52,2,SAM,2025-04-17 06:56:25.752589,Approved
53,3,AM,2025-05-15 13:32:51.705535,Requesting credit of $375.09 for seller 108
53,3,SAM,2025-05-16 20:32:51.705535,Approved
54,18,AM,2024-07-04 13:42:31.706242,Requesting credit of $659.3 for seller 281
54,5,SAM,2024-07-06 13:42:31.706242,Approved
55,3,AM,2024-06-04 09:13:47.538239,Requesting credit of $303.47 for seller 283
55,3,SAM,2024-06-05 07:13:47.538239,Approved
56,20,AM,2024-09-17 12:39:07.996276,Requesting credit of $369.58 for seller 16
56,5,SAM,2024-09-18 02:39:07.996276,Approved
57,15,AM,2024-09-16 21:44:29.260586,Requesting credit of $766.6 for seller 216
57,2,SAM,2024-09-17 10:44:29.260586,Approved
58,12,AM,2025-08-06 20:31:44.514709,Requesting credit of $723.58 for seller 167
58,1,SAM,2025-08-07 18:31:44.514709,Approved
59,11,AM,2024-12-31 16:07:57.266261,Requesting credit of $453.97 for seller 86
59,4,SAM,2025-01-02 12:07:57.266261,Approved
60,17,AM,2025-02-14 04:17:37.044199,Requesting credit of $796.21 for seller 77
60,5,SAM,2025-02-15 14:17:37.044199,Approved
61,3,AM,2024-01-29 13:34:50.754782,Requesting credit of $465.54 for seller 220
61,3,SAM,2024-01-29 18:34:50.754782,Approved
62,1,AM,2025-02-04 02:08:58.887531,Requesting credit of $587.06 for seller 183
62,1,SAM,2025-02-05 20:08:58.887531,Approved
63,11,AM,2024-12-08 06:59:39.435076,Requesting credit of $287.34 for seller 33
63,4,SAM,2024-12-09 00:59:39.435076,Approved
64,12,AM,2024-10-06 09:54:52.869005,Requesting credit of $434.12 for seller 167
64,1,SAM,2024-10-08 05:54:52.869005,Approved
65,2,AM,2024-08-04 17:18:23.426366,Requesting credit of $564.22 for seller 192
65,1,SAM,2024-08-05 02:18:23.426366,Approved
66,5,AM,2024-09-25 22:34:16.438767,Requesting credit of $541.94 for seller 251
66,2,SAM,2024-09-27 01:34:16.438767,Approved
67,17,AM,2025-01-05 00:33:45.876685,Requesting credit of $562.16 for seller 237
67,5,SAM,2025-01-05 22:33:45.876685,Approved
68,10,AM,2024-06-07 15:50:57.372788,Requesting credit of $278.26 for seller 221
68,5,SAM,2024-06-09 14:50:57.372788,Approved
69,20,AM,2025-03-22 17:48:58.284673,Requesting credit of $456.89 for seller 50
69,5,SAM,2025-03-23 22:48:58.284673,Rejected
70,13,AM,2024-10-08 06:05:23.510052,Requesting credit of $768.95 for seller 184
70,1,SAM,2024-10-10 02:05:23.510052,Approved
71,14,AM,2024-08-12 17:12:11.347152,Requesting credit of $485.74 for seller 95
71,1,SAM,2024-08-13 17:12:11.347152,Approved
72,14,AM,2024-06-11 05:25:25.941760,Requesting credit of $215.09 for seller 130
72,1,SAM,2024-06-13 02:25:25.941760,Approved
73,3,AM,2024-07-27 16:44:35.087522,Requesting credit of $502.98 for seller 155
73,3,SAM,2024-07-28 02:44:35.087522,Approved
74,17,AM,2024-01-18 17:07:52.455126,Requesting credit of $623.52 for seller 58
74,5,SAM,2024-01-19 23:07:52.455126,Approved
75,10,AM,2024-10-11 16:04:05.941274,Requesting credit of $428.69 for seller 221
75,5,SAM,2024-10-13 11:04:05.941274,Approved
76,19,AM,2025-02-15 06:49:16.072446,Requesting credit of $412.83 for seller 191
76,1,SAM,2025-02-16 14:49:16.072446,Approved
77,3,AM,2024-06-04 18:00:30.613652,Requesting credit of $239.29 for seller 70
77,3,SAM,2024-06-05 01:00:30.613652,Approved
78,9,AM,2024-06-15 02:17:55.513133,Requesting credit of $506.15 for seller 278
78,1,SAM,2024-06-16 23:17:55.513133,Approved
79,13,AM,2024-04-22 17:17:30.847297,Requesting credit of $765.04 for seller 184
79,1,SAM,2024-04-24 09:17:30.847297,Approved
80,19,AM,2024-08-15 06:44:47.843032,Requesting credit of $490.48 for seller 227
80,1,SAM,2024-08-16 07:44:47.843032,Approved
81,3,AM,2024-01-21 16:08:57.501364,Requesting credit of $423.14 for seller 271
81,3,SAM,2024-01-22 04:08:57.501364,Approved
82,4,AM,2024-10-14 09:08:10.273632,Requesting credit of $461.5 for seller 65
82,2,SAM,2024-10-15 11:08:10.273632,Approved
83,20,AM,2025-06-01 22:14:26.536720,Requesting credit of $654.41 for seller 50
83,5,SAM,2025-06-02 10:14:26.536720,Approved
84,7,AM,2025-01-07 18:18:29.161011,Requesting credit of $611.1 for seller 208
84,1,SAM,2025-01-09 06:18:29.161011,Approved
85,15,AM,2024-10-08 06:00:54.165811,Requesting credit of $314.09 for seller 245
85,2,SAM,2024-10-09 05:00:54.165811,Approved
86,4,AM,2025-03-27 00:10:21.039205,Requesting credit of $210.81 for seller 162
86,2,SAM,2025-03-28 07:10:21.039205,Approved
87,20,AM,2024-12-06 05:33:45.276196,Requesting credit of $310.37 for seller 286
87,5,SAM,2024-12-07 05:33:45.276196,Approved
88,18,AM,2025-01-03 19:19:39.030533,Requesting credit of $607.12 for seller 239
88,5,SAM,2025-01-05 10:19:39.030533,Approved
89,12,AM,2024-05-19 00:19:13.545560,Requesting credit of $659.48 for seller 194
89,1,SAM,2024-05-20 18:19:13.545560,Approved
90,6,AM,2024-04-03 02:38:59.703279,Requesting credit of $336.11 for seller 293
90,2,SAM,2024-04-04 09:38:59.703279,Approved
91,16,AM,2025-01-15 21:30:17.654199,Requesting credit of $617.25 for seller 179
91,2,SAM,2025-01-16 07:30:17.654199,Approved
92,20,AM,2024-05-19 12:45:50.955405,Requesting credit of $525.06 for seller 16
92,5,SAM,2024-05-19 20:45:50.955405,Rejected
93,19,AM,2025-04-22 08:28:32.379723,Requesting credit of $399.4 for seller 81
93,1,SAM,2025-04-22 20:28:32.379723,Approved
94,20,AM,2024-02-20 03:43:07.517569,Requesting credit of $706.1 for seller 210
94,5,SAM,2024-02-21 09:43:07.517569,Approved
95,9,AM,2024-08-21 13:14:39.087881,Requesting credit of $289.58 for seller 133
95,1,SAM,2024-08-22 12:14:39.087881,Approved
96,19,AM,2025-04-18 00:49:32.067852,Requesting credit of $279.95 for seller 258
96,1,SAM,2025-04-19 02:49:32.067852,Approved
97,16,AM,2025-03-10 12:15:15.294011,Requesting credit of $552.63 for seller 265
97,2,SAM,2025-03-12 03:15:15.294011,Approved
98,18,AM,2024-09-28 07:47:01.429790,Requesting credit of $613.97 for seller 281
98,5,SAM,2024-09-30 05:47:01.429790,Approved
99,13,AM,2024-01-03 04:50:08.648101,Requesting credit of $300.73 for seller 14
99,1,SAM,2024-01-04 06:50:08.648101,Rejected
100,18,AM,2024-06-26 17:18:10.804665,Requesting credit of $734.24 for seller 40
100,5,SAM,2024-06-28 13:18:10.804665,Approved
101,15,AM,2025-01-16 16:33:20.768412,Requesting credit of $419.91 for seller 268
101,2,SAM,2025-01-17 22:33:20.768412,Approved
102,8,AM,2024-08-30 01:08:19.384954,Requesting credit of $222.27 for seller 126
102,5,SAM,2024-08-31 19:08:19.384954,Rejected
103,16,AM,2024-05-07 06:43:57.412033,Requesting credit of $579.61 for seller 110
103,2,SAM,2024-05-07 13:43:57.412033,Approved
104,20,AM,2024-04-23 23:08:42.852039,Requesting credit of $676.64 for seller 125
104,5,SAM,2024-04-25 05:08:42.852039,Approved
105,15,AM,2024-07-01 16:44:01.936735,Requesting credit of $483.9 for seller 268
105,2,SAM,2024-07-03 15:44:01.936735,Approved
106,2,AM,2024-12-22 20:59:50.749578,Requesting credit of $772.26 for seller 192
106,1,SAM,2024-12-24 14:59:50.749578,Rejected
107,16,AM,2025-01-18 05:02:27.078961,Requesting credit of $531.42 for seller 259
107,2,SAM,2025-01-19 03:02:27.078961,Approved
108,15,AM,2025-08-06 14:08:39.958165,Requesting credit of $431.87 for seller 268
108,2,SAM,2025-08-07 18:08:39.958165,Approved
109,3,AM,2024-09-11 21:39:28.037601,Requesting credit of $518.38 for seller 283
109,3,SAM,2024-09-12 03:39:28.037601,Approved
110,5,AM,2024-07-14 23:28:43.526761,Requesting credit of $269.07 for seller 236
110,2,SAM,2024-07-16 15:28:43.526761,Approved
111,18,AM,2025-08-16 20:35:53.391357,Requesting credit of $363.75 for seller 207
111,5,SAM,2025-08-17 10:35:53.391357,Approved
112,6,AM,2025-08-12 04:32:45.684364,Requesting credit of $351.35 for seller 62
112,2,SAM,2025-08-12 14:32:45.684364,Approved
113,13,AM,2024-08-26 13:40:56.890691,Requesting credit of $313.64 for seller 209
113,1,SAM,2024-08-27 14:40:56.890691,Approved
114,18,AM,2025-03-24 21:25:56.506134,Requesting credit of $579.52 for seller 144
114,5,SAM,2025-03-26 09:25:56.506134,Approved
115,13,AM,2024-07-22 09:57:07.405839,Requesting credit of $410.25 for seller 98
115,1,SAM,2024-07-22 22:57:07.405839,Approved
116,9,AM,2025-05-16 23:47:07.881347,Requesting credit of $257.51 for seller 279
116,1,SAM,2025-05-18 08:47:07.881347,Approved
117,15,AM,2025-04-07 06:41:18.008387,Requesting credit of $343.14 for seller 137
117,2,SAM,2025-04-08 06:41:18.008387,Approved
118,19,AM,2024-04-16 00:04:14.504668,Requesting credit of $302.15 for seller 300
118,1,SAM,2024-04-17 20:04:14.504668,Approved
119,5,AM,2025-08-03 00:39:16.488501,Requesting credit of $277.44 for seller 272
119,2,SAM,2025-08-04 09:39:16.488501,Approved
120,17,AM,2025-06-06 03:25:27.879896,Requesting credit of $406.24 for seller 233
120,5,SAM,2025-06-07 22:25:27.879896,Approved
121,10,AM,2025-07-21 10:18:19.714558,Requesting credit of $561.37 for seller 75
121,5,SAM,2025-07-23 07:18:19.714558,Approved
122,8,AM,2025-05-28 14:36:34.961130,Requesting credit of $266.62 for seller 244
122,5,SAM,2025-05-29 15:36:34.961130,Approved
123,19,AM,2024-01-13 17:12:31.284581,Requesting credit of $606.3 for seller 128
123,1,SAM,2024-01-15 01:12:31.284581,Approved
124,8,AM,2025-08-17 13:58:31.977471,Requesting credit of $254.65 for seller 32
124,5,SAM,2025-08-18 17:58:31.977471,Approved
125,8,AM,2025-01-29 18:31:03.777056,Requesting credit of $214.47 for seller 182
125,5,SAM,2025-01-30 02:31:03.777056,Approved
126,4,AM,2024-10-12 12:24:38.006757,Requesting credit of $316.24 for seller 21
126,2,SAM,2024-10-13 01:24:38.006757,Approved
127,3,AM,2025-03-29 18:11:33.267714,Requesting credit of $572.08 for seller 69
127,3,SAM,2025-03-30 06:11:33.267714,Approved
128,11,AM,2024-09-01 12:57:15.963980,Requesting credit of $566.94 for seller 86
128,4,SAM,2024-09-02 00:57:15.963980,Approved
129,10,AM,2024-07-08 06:20:04.998059,Requesting credit of $637.34 for seller 295
129,5,SAM,2024-07-09 18:20:04.998059,Approved
130,14,AM,2024-08-29 16:27:51.296011,Requesting credit of $451.76 for seller 255
130,1,SAM,2024-08-30 08:27:51.296011,Approved
131,5,AM,2025-03-06 14:10:51.006830,Requesting credit of $383.58 for seller 236
131,2,SAM,2025-03-08 03:10:51.006830,Rejected
132,1,AM,2024-05-19 12:09:49.781862,Requesting credit of $592.1 for seller 183
132,1,SAM,2024-05-20 01:09:49.781862,Approved
133,15,AM,2025-02-05 06:58:20.038975,Requesting credit of $284.71 for seller 276
133,2,SAM,2025-02-05 12:58:20.038975,Approved
134,10,AM,2024-06-07 16:49:45.460920,Requesting credit of $776.51 for seller 219
134,5,SAM,2024-06-09 00:49:45.460920,Approved
135,13,AM,2024-03-29 23:42:43.231072,Requesting credit of $215.52 for seller 114
135,1,SAM,2024-03-31 02:42:43.231072,Approved
136,5,AM,2025-04-21 21:21:51.953897,Requesting credit of $347.12 for seller 134
136,2,SAM,2025-04-23 09:21:51.953897,Approved
137,5,AM,2024-01-23 13:36:23.494154,Requesting credit of $788.86 for seller 236
137,2,SAM,2024-01-23 20:36:23.494154,Approved
138,8,AM,2025-01-22 16:19:52.773737,Requesting credit of $784.44 for seller 79
138,5,SAM,2025-01-23 03:19:52.773737,Approved
139,5,AM,2025-05-30 09:08:19.087145,Requesting credit of $736.39 for seller 236
139,2,SAM,2025-05-30 18:08:19.087145,Approved
140,13,AM,2024-09-10 19:05:39.083956,Requesting credit of $665.84 for seller 49
140,1,SAM,2024-09-12 01:05:39.083956,Rejected
141,10,AM,2024-11-15 14:54:10.408317,Requesting credit of $708.37 for seller 118
141,5,SAM,2024-11-15 19:54:10.408317,Approved
142,11,AM,2024-07-11 02:00:12.866419,Requesting credit of $262.27 for seller 31
142,4,SAM,2024-07-11 14:00:12.866419,Rejected
143,18,AM,2024-04-08 12:02:22.127681,Requesting credit of $774.68 for seller 161
143,5,SAM,2024-04-09 20:02:22.127681,Approved
144,17,AM,2024-03-28 08:52:27.451112,Requesting credit of $435.06 for seller 217
144,5,SAM,2024-03-29 23:52:27.451112,Approved
145,14,AM,2025-07-06 15:55:42.311468,Requesting credit of $421.35 for seller 130
145,1,SAM,2025-07-07 02:55:42.311468,Rejected
146,16,AM,2024-10-06 16:12:49.614982,Requesting credit of $442.73 for seller 110
146,2,SAM,2024-10-08 03:12:49.614982,Approved
147,15,AM,2024-04-18 02:28:32.494742,Requesting credit of $241.44 for seller 96
147,2,SAM,2024-04-18 15:28:32.494742,Approved
148,1,AM,2025-05-05 18:40:54.293947,Requesting credit of $792.88 for seller 83
148,1,SAM,2025-05-07 00:40:54.293947,Approved
149,8,AM,2024-11-05 03:52:02.088317,Requesting credit of $301.08 for seller 79
149,5,SAM,2024-11-06 17:52:02.088317,Approved
150,9,AM,2024-03-10 12:59:01.395232,Requesting credit of $560.55 for seller 148
150,1,SAM,2024-03-10 18:59:01.395232,Approved
151,15,AM,2025-05-28 22:44:36.682189,Requesting credit of $586.13 for seller 96
151,2,SAM,2025-05-30 00:44:36.682189,Approved
152,8,AM,2024-07-27 12:35:48.615474,Requesting credit of $387.16 for seller 126
152,5,SAM,2024-07-28 00:35:48.615474,Rejected
153,18,AM,2024-10-05 16:52:45.306218,Requesting credit of $253.92 for seller 30
153,5,SAM,2024-10-07 16:52:45.306218,Approved
154,18,AM,2025-07-19 22:13:03.678614,Requesting credit of $765.77 for seller 13
154,5,SAM,2025-07-20 14:13:03.678614,Rejected
155,19,AM,2023-12-27 03:13:06.723662,Requesting credit of $442.96 for seller 214
155,1,SAM,2023-12-28 17:13:06.723662,Approved
156,15,AM,2025-08-05 04:22:27.665975,Requesting credit of $546.14 for seller 290
156,2,SAM,2025-08-05 11:22:27.665975,Approved
157,13,AM,2024-03-06 12:21:01.963646,Requesting credit of $695.25 for seller 270
157,1,SAM,2024-03-07 20:21:01.963646,Approved
158,5,AM,2024-10-27 20:41:13.791552,Requesting credit of $443.01 for seller 61
158,2,SAM,2024-10-28 23:41:13.791552,Approved
159,2,AM,2023-12-30 19:14:22.494389,Requesting credit of $643.54 for seller 84
159,1,SAM,2024-01-01 13:14:22.494389,Approved
160,20,AM,2024-04-19 20:08:45.075752,Requesting credit of $499.14 for seller 225
160,5,SAM,2024-04-21 18:08:45.075752,Approved
161,18,AM,2024-11-29 00:16:05.670280,Requesting credit of $687.38 for seller 13
161,5,SAM,2024-11-30 02:16:05.670280,Approved
162,12,AM,2024-09-14 11:20:39.628386,Requesting credit of $514.42 for seller 200
162,1,SAM,2024-09-16 07:20:39.628386,Approved
163,8,AM,2024-08-01 15:52:56.372633,Requesting credit of $564.04 for seller 169
163,5,SAM,2024-08-03 03:52:56.372633,Approved
164,19,AM,2024-12-14 05:01:23.542327,Requesting credit of $250.56 for seller 90
164,1,SAM,2024-12-16 04:01:23.542327,Approved
165,9,AM,2024-09-05 04:53:57.913690,Requesting credit of $441.66 for seller 133
165,1,SAM,2024-09-06 07:53:57.913690,Approved
166,3,AM,2025-04-21 22:53:55.786921,Requesting credit of $776.3 for seller 20
166,3,SAM,2025-04-23 01:53:55.786921,Approved
167,13,AM,2024-03-28 00:40:22.708820,Requesting credit of $676.54 for seller 114
167,1,SAM,2024-03-29 05:40:22.708820,Approved
168,19,AM,2024-05-19 08:53:31.423742,Requesting credit of $507.53 for seller 90
168,1,SAM,2024-05-20 19:53:31.423742,Approved
169,9,AM,2024-08-15 20:41:29.541580,Requesting credit of $244.64 for seller 153
169,1,SAM,2024-08-16 13:41:29.541580,Approved
170,16,AM,2025-06-26 05:34:12.282581,Requesting credit of $778.26 for seller 64
170,2,SAM,2025-06-26 17:34:12.282581,Approved
171,19,AM,2025-05-26 12:12:19.618815,Requesting credit of $744.27 for seller 90
171,1,SAM,2025-05-28 10:12:19.618815,Approved
172,6,AM,2024-03-11 00:22:38.325805,Requesting credit of $653.67 for seller 62
172,2,SAM,2024-03-11 14:22:38.325805,Approved
173,20,AM,2025-02-13 11:39:29.246805,Requesting credit of $733.07 for seller 125
173,5,SAM,2025-02-13 22:39:29.246805,Approved
174,8,AM,2024-03-01 18:13:38.382007,Requesting credit of $590.49 for seller 91
174,5,SAM,2024-03-03 09:13:38.382007,Approved
175,15,AM,2024-01-01 16:27:06.762062,Requesting credit of $273.69 for seller 245
175,2,SAM,2024-01-02 00:27:06.762062,Approved
176,3,AM,2024-01-11 08:09:45.959435,Requesting credit of $767.22 for seller 141
176,3,SAM,2024-01-13 00:09:45.959435,Rejected
177,5,AM,2025-05-25 15:50:54.375501,Requesting credit of $572.71 for seller 71
177,2,SAM,2025-05-26 17:50:54.375501,Approved
178,9,AM,2024-05-17 14:13:32.569218,Requesting credit of $329.44 for seller 34
178,1,SAM,2024-05-18 21:13:32.569218,Approved
179,3,AM,2024-05-07 08:06:31.538994,Requesting credit of $565.14 for seller 252
179,3,SAM,2024-05-07 22:06:31.538994,Approved
180,7,AM,2024-06-02 14:40:58.997807,Requesting credit of $584.02 for seller 25
180,1,SAM,2024-06-02 23:40:58.997807,Approved
181,6,AM,2025-07-21 01:44:47.906606,Requesting credit of $439.68 for seller 103
181,2,SAM,2025-07-22 20:44:47.906606,Approved
182,8,AM,2025-01-27 19:58:12.046434,Requesting credit of $338.91 for seller 224
182,5,SAM,2025-01-29 17:58:12.046434,Approved
183,9,AM,2024-12-15 02:16:31.323996,Requesting credit of $575.47 for seller 154
183,1,SAM,2024-12-15 11:16:31.323996,Rejected
184,16,AM,2024-05-30 21:18:49.253561,Requesting credit of $743.9 for seller 280
184,2,SAM,2024-06-01 03:18:49.253561,Approved
185,17,AM,2025-03-31 05:12:32.296194,Requesting credit of $201.52 for seller 58
185,5,SAM,2025-04-02 02:12:32.296194,Approved
186,2,AM,2024-01-28 10:50:37.013521,Requesting credit of $251.89 for seller 107
186,1,SAM,2024-01-28 18:50:37.013521,Approved
187,20,AM,2025-08-01 19:54:32.751254,Requesting credit of $505.94 for seller 269
187,5,SAM,2025-08-03 13:54:32.751254,Approved
188,20,AM,2024-10-28 20:13:58.836222,Requesting credit of $600.93 for seller 286
188,5,SAM,2024-10-29 23:13:58.836222,Approved
189,8,AM,2025-07-04 01:05:58.379890,Requesting credit of $371.34 for seller 176
189,5,SAM,2025-07-04 20:05:58.379890,Approved
190,6,AM,2024-09-06 15:29:09.400002,Requesting credit of $291.97 for seller 293
190,2,SAM,2024-09-07 21:29:09.400002,Approved
191,2,AM,2025-07-15 23:56:35.240434,Requesting credit of $471.66 for seller 121
191,1,SAM,2025-07-16 23:56:35.240434,Approved
192,14,AM,2024-11-12 00:12:17.295559,Requesting credit of $355.93 for seller 255
192,1,SAM,2024-11-13 11:12:17.295559,Rejected
193,13,AM,2025-04-04 06:49:34.204675,Requesting credit of $487.01 for seller 37
193,1,SAM,2025-04-05 08:49:34.204675,Rejected
194,1,AM,2024-04-19 23:33:36.708708,Requesting credit of $436.1 for seller 284
194,1,SAM,2024-04-20 03:33:36.708708,Approved
195,6,AM,2025-03-11 09:06:48.673233,Requesting credit of $231.72 for seller 177
195,2,SAM,2025-03-12 12:06:48.673233,Rejected
196,3,AM,2024-05-15 07:16:38.390901,Requesting credit of $209.01 for seller 45
196,3,SAM,2024-05-16 22:16:38.390901,Approved
197,11,AM,2025-01-05 17:44:57.624700,Requesting credit of $240.57 for seller 86
197,4,SAM,2025-01-07 16:44:57.624700,Approved
198,3,AM,2024-02-28 22:24:34.302731,Requesting credit of $717.11 for seller 85
198,3,SAM,2024-03-01 13:24:34.302731,Approved
199,9,AM,2025-06-15 08:38:03.447628,Requesting credit of $596.35 for seller 150
199,1,SAM,2025-06-15 14:38:03.447628,Rejected
200,3,AM,2024-03-13 12:46:42.012594,Requesting credit of $346.99 for seller 26
200,3,SAM,2024-03-14 01:46:42.012594,Approved
201,19,AM,2024-09-01 23:34:59.425911,Requesting credit of $289.77 for seller 258
201,1,SAM,2024-09-03 04:34:59.425911,Approved
202,14,AM,2025-03-22 11:14:22.566515,Requesting credit of $476.4 for seller 198
202,1,SAM,2025-03-24 01:14:22.566515,Approved
